"Type","Entries","Year","Value"
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1980",983
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1980",1736
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1980",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1980",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1980",182
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1980",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1980",64
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1980",2567
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1980",2060
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1980",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1980",973
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1980",696
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1980",26
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1980",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1980",243
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1980",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1980",345
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1980",390
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1980",0
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1980",940
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1980",0
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1980",0
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1980",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1981",2754
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1981",1087
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1981",1978
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1981",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1981",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1981",207
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1981",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1981",86
